search.year,ID,Authors,Ttitle,Journal,Vol,DOI,Year
2016,57,"Martinez-Tilleria, Karina; Loayza, Andrea P.; Sandquist, Darren R.; Squeo, Francisco A.",No evidence of a trade-off between drought and shade tolerance in seedlings of six coastal desert shrub species in north-central Chile,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01427.x,2012
2016,58,"Litman, Jessica R.; Danforth, Bryan N.; Eardley, Connal D.; Praz, Christophe J.",Why do leafcutter bees cut leaves? New insights into the early evolution of bees,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,278,10.1098/rspb.2011.0365,2011
2016,59,"Butterfield, Bradley J.; Briggs, John M.",Regeneration niche differentiates functional strategies of desert woody plant species,OECOLOGIA,165,10.1007/s00442-010-1741-y,2011
2016,60,"Cipriotti, P. A.; Aguiar, M. R.",Resource partitioning and interactions enable coexistence in a grass-shrub steppe,JOURNAL OF ARID ENVIRONMENTS,74,10.1016/j.jaridenv.2010.05.006,2010
2016,61,"Leger, Elizabeth A.; Espeland, Erin K.",The shifting balance of facilitation and competition affects the outcome of intra- and interspecific interactions over the life history of California grassland annuals,PLANT ECOLOGY,208,10.1007/s11258-009-9710-4,2010
2016,62,"Soliveres, S.; DeSoto, L.; Maestre, F. T.; Olano, J. M.",Spatio-temporal heterogeneity in abiotic factors modulate multiple ontogenetic shifts between competition and facilitation,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,12,10.1016/j.ppees.2010.02.003,2010
2016,63,"Nano, Catherine E. M.; Clarke, Peter J.",Variegated desert vegetation: Covariation of edaphic and fire variables provides a framework for understanding mulga-spinifex coexistence,AUSTRAL ECOLOGY,33,10.1111/j.1442-9993.2008.01855.x,2008
2016,64,"Kefi, Sonia; van Baalen, Minus; Rietkerk, Max; Loreau, Michel",Evolution of local facilitation in arid ecosystems,AMERICAN NATURALIST,172,10.1086/588066,2008
2016,65,"James, J. J.; Davies, K. W.; Sheley, R. L.; Aanderud, Z. T.",Linking nitrogen partitioning and species abundance to invasion resistance in the Great Basin,OECOLOGIA,156,10.1007/s00442-008-1015-0,2008
2016,66,"Valiente-Banuet, Alfonso; Verdu, Miguel",Temporal shifts from facilitation to competition occur between closely related taxa,JOURNAL OF ECOLOGY,96,10.1111/j.1365-2745.2008.01357.x,2008
2016,67,"Napolitano, Constanza; Bennett, Magdalena; Johnson, Warren E.; O'Brien, Stephen J.; Marquet, Pablo A.; Barria, Ivan; Poulin, Elie; Iriarte, Agustin",Ecological and biogeographical inferences on two sympatric and enigmatic Andean cat species using genetic identification of faecal samples,MOLECULAR ECOLOGY,17,10.1111/j.1365-294X.2007.03606.x,2008
